subject,signal_length,signal_length_sec,window_size_sec,mode,mean_hr,std_hr,n_windows_valid,n_windows_total
205,1920,64.0,4,non_overlapping,75.57325022830041,4.424375901902593,16,16
205,1920,64.0,4,overlapping,75.48615375366212,4.938257153344526,31,31
205,1920,64.0,5,non_overlapping,75.30628413000433,4.201516878027149,12,12
205,1920,64.0,5,overlapping,75.25019073668267,4.111789878285313,24,24
206,160,5.3,3,non_overlapping,74.0,0.0,1,1
206,160,5.3,3,overlapping,71.66666666666667,2.3333333333333286,2,2
206,160,5.3,4,non_overlapping,72.16666666666667,0.0,1,1
206,160,5.3,4,overlapping,72.16666666666667,0.0,1,1
206,160,5.3,5,non_overlapping,72.13333333333334,0.0,1,1
206,160,5.3,5,overlapping,72.13333333333334,0.0,1,1
206,320,10.7,3,non_overlapping,71.47008547008546,1.9253358053410334,3,3
206,320,10.7,3,overlapping,70.6980056980057,1.8949553012418499,6,6
206,320,10.7,4,non_overlapping,70.30555555555556,1.8611111111111143,2,2
206,320,10.7,4,overlapping,70.09081196581198,1.6741432537527239,4,4
206,320,10.7,5,non_overlapping,71.25641025641026,0.8769230769230774,2,2
206,320,10.7,5,overlapping,70.43760683760684,1.3614480523258385,3,3
206,480,16.0,3,non_overlapping,80.33076923076922,16.79125895766307,5,5
206,480,16.0,3,overlapping,75.94539411206078,13.484164614186524,9,9
206,480,16.0,4,non_overlapping,79.16720085470085,14.035034541755296,4,4
206,480,16.0,4,overlapping,80.06837606837608,15.016799665700578,7,7
206,480,16.0,5,non_overlapping,80.05299145299146,12.460832404698541,3,3
206,480,16.0,5,overlapping,81.20102564102565,13.225917774815976,5,5
206,1920,64.0,3,non_overlapping,72.48738813045945,10.033677725963463,21,21
206,1920,64.0,3,overlapping,71.17907043083478,7.635387194424906,41,41
206,1920,64.0,4,non_overlapping,72.1075585146987,8.626438274823046,16,16
206,1920,64.0,4,overlapping,71.96585914770371,8.878668527371575,31,31
206,1920,64.0,5,non_overlapping,72.41824277879375,7.94687751663154,12,12
206,1920,64.0,5,overlapping,72.20195475751136,8.121572492385518,24,24
301,160,5.3,3,non_overlapping,57.15725806451613,0.0,1,1
301,160,5.3,3,overlapping,56.73112170087976,0.42613636363636687,2,2
301,160,5.3,4,non_overlapping,57.45967741935484,0.0,1,1
301,160,5.3,4,overlapping,57.45967741935484,0.0,1,1
301,160,5.3,5,non_overlapping,56.73112170087976,0.0,1,1
301,160,5.3,5,overlapping,56.73112170087976,0.0,1,1
301,320,10.7,3,non_overlapping,54.36181584070578,1.9767647249239997,3,3
301,320,10.7,3,overlapping,53.85562472789703,2.3582941383914555,6,6
301,320,10.7,4,non_overlapping,54.45813002620403,3.001547393150812,2,2
301,320,10.7,4,overlapping,54.33477239869555,2.151608454393564,4,4
301,320,10.7,5,non_overlapping,54.61333268644701,2.117789014432752,2,2
301,320,10.7,5,overlapping,53.73933578807867,2.1255026142420204,3,3
301,480,16.0,3,non_overlapping,57.72260898494295,6.8046621789556,5,5
301,480,16.0,3,overlapping,56.00656367141187,5.65589202197162,9,9
301,480,16.0,4,non_overlapping,57.10755049820515,5.010391595160237,4,4
301,480,16.0,4,overlapping,57.47946832692021,5.170645019090114,7,7
301,480,16.0,5,non_overlapping,57.330154691397574,4.213343543980468,3,3
301,480,16.0,5,overlapping,57.268907049623365,4.627477977176931,5,5
301,1920,64.0,3,non_overlapping,54.31809820702475,4.237055697869133,21,21
301,1920,64.0,3,overlapping,53.57760690740165,3.584468722793328,41,41
301,1920,64.0,4,non_overlapping,53.91700416420233,3.64186120732843,16,16
301,1920,64.0,4,overlapping,53.9577653506542,3.5997394237757008,31,31
301,1920,64.0,5,non_overlapping,54.16322756811372,3.2126305079284605,12,12
301,1920,64.0,5,overlapping,54.00545297856137,3.1575148704651,24,24
302,160,5.3,3,non_overlapping,56.25,0.0,1,1
302,160,5.3,3,overlapping,56.703629032258064,0.45362903225806406,2,2
302,160,5.3,4,non_overlapping,57.15725806451613,0.0,1,1
302,160,5.3,4,overlapping,57.15725806451613,0.0,1,1
302,160,5.3,5,non_overlapping,56.854838709677416,0.0,1,1
302,160,5.3,5,overlapping,56.854838709677416,0.0,1,1
302,320,10.7,3,non_overlapping,55.965909090909086,0.40176521658326864,3,3
302,320,10.7,3,overlapping,56.2591642228739,0.5080981039453503,6,6
302,320,10.7,4,non_overlapping,56.703629032258064,0.45362903225806406,2,2
302,320,10.7,4,overlapping,56.33476906158358,0.5284894982246356,4,4
302,320,10.7,5,non_overlapping,56.339351173020525,0.5154875366568916,2,2
302,320,10.7,5,overlapping,56.30956744868035,0.4229961474649659,3,3
302,480,16.0,3,non_overlapping,57.496212121212125,2.1727174992384066,5,5
302,480,16.0,3,overlapping,57.352286303899206,1.7949772881288206,9,9
302,480,16.0,4,non_overlapping,57.80857974910394,1.2848334189471375,4,4
302,480,16.0,4,overlapping,57.82045687287622,1.9912643585268628,7,7
302,480,16.0,5,non_overlapping,57.64133268165526,1.8887729609332664,3,3
302,480,16.0,5,overlapping,57.696358748778096,1.7550017762105952,5,5
